station,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,feel,date,time
EGAA,5.0,2.0,80.93,310.0,4.115552,0.0,0.762762,,6.21,,1.8,20220105,14:20
EGAA,5.0,2.0,80.93,300.0,3.086664,0.0,0.763524,,6.21,,2.4,20220105,14:50
EGAA,5.0,2.0,80.93,300.0,3.086664,0.0,0.763524,,6.21,,2.4,20220105,15:20
EGAA,5.0,2.0,80.93,310.0,2.057776,0.0,0.763524,,6.21,,3.3,20220105,15:50
EGAA,4.0,1.0,80.79,250.0,2.057776,0.0,0.763524,,6.21,,2.1,20220105,16:20
EGAA,3.0,2.0,93.14,260.0,2.57222,0.0,0.763524,,6.21,,0.5,20220105,16:50
EGAA,3.0,2.0,93.14,220.0,1.543332,0.0,0.7642859999999999,,6.21,,1.6,20220105,17:20
EGAA,3.0,2.0,93.14,220.0,3.086664,0.0,0.7642859999999999,,6.21,,0.0,20220105,17:50
EGAA,3.0,2.0,93.14,220.0,2.057776,0.0,0.7642859999999999,,6.21,,1.0,20220105,18:20
EGAA,3.0,1.0,86.69,190.0,1.543332,0.0,0.7642859999999999,,6.21,,1.6,20220105,18:50
EGAA,3.0,1.0,86.69,180.0,2.057776,0.0,0.7642859999999999,,6.21,,1.0,20220105,19:20
EGAA,3.0,1.0,86.69,190.0,2.057776,0.0,0.763524,,6.21,,1.0,20220105,19:50
EGAA,3.0,1.0,86.69,180.0,2.57222,0.0,0.763524,,6.21,,0.5,20220105,20:20
EGAA,3.0,1.0,86.69,160.0,2.57222,0.0,0.763524,,6.21,,0.5,20220105,20:50
EGAA,3.0,0.0,80.65,180.0,3.086664,0.0,0.763524,,6.21,,0.0,20220105,21:20
EGAA,3.0,-1.0,74.98,180.0,2.057776,0.0,0.763524,,6.21,,1.0,20220105,21:50
EGAA,3.0,-1.0,74.98,170.0,2.57222,0.0,0.762762,,6.21,,0.5,20220105,22:20
EGAA,2.0,-2.0,74.8,150.0,3.086664,0.0,0.762762,,6.21,,-1.2,20220105,22:50
EGAA,1.0,-2.0,80.36,150.0,3.601108,0.0,0.762762,,6.21,,-2.8,20220105,23:20
EGAA,0.0,-3.0,80.22,160.0,3.086664,0.0,0.762,,6.21,,-3.6,20220105,23:50
EGAA,0.0,-3.0,80.22,170.0,3.601108,0.0,0.762,,6.21,,-4.0,20220106,00:20
EGAA,2.0,-3.0,69.46,180.0,4.115552,0.0,0.761238,,6.21,,-1.9,20220106,00:50
EGAA,1.0,-3.0,74.63,180.0,4.629996,0.0,0.761238,,6.21,,-3.5,20220106,01:20
EGAA,0.0,-3.0,80.22,160.0,3.601108,0.0,0.760476,,6.21,,-4.0,20220106,01:50
EGAA,1.0,-3.0,74.63,170.0,4.629996,0.0,0.759714,,6.21,,-3.5,20220106,02:20
EGAA,2.0,-3.0,69.46,170.0,4.629996,0.0,0.759714,,6.21,,-2.2,20220106,02:50
EGAA,2.0,-3.0,69.46,160.0,5.14444,0.0,0.758952,,6.21,,-2.5,20220106,03:20
EGAA,2.0,-3.0,69.46,170.0,5.14444,0.0,0.75819,,6.21,,-2.5,20220106,03:50
EGAA,3.0,-2.0,69.67,170.0,6.173328,0.0,0.757682,,6.21,,-1.7,20220106,04:20
